cardNumber,merchantTransactionId
5120350100064537,0a4e0d3.34f4a04b.f1ccc4527022cd07476da1585ec73ddb2951cdcb
5120350100064537,0a4e0d3.34f4a04b.715ff751e0eb714630cef5264d525d30793e6d93
5120350100064537,0a4e0d3.34f4a04b.dacdc0d777041d573b5323d604fe61a4c0dbed56
5120350100064537,0a4e0d3.34f4a04b.e929c2add850f14ab703bb6a3bc0ebd6ad4769d5
5120350100064537,0a4e0d3.34f4a04b.5fb09bb0e2ffffe0092584f4bd4d86c463328018
5120350100064545,0a4e0d3.34f4a04b.d345f887956959d3934a086e68192a3ef7ccc981
5120350100064545,0a4e0d3.34f4a04b.677361714b726e132a287321cb21ebc747149fba
5120350100064545,0a4e0d3.34f4a04b.514b95f21a0b720522c57ae278eaab55a32cc9a3
5120350100064545,0a4e0d3.34f4a04b.8ffa49a2ce00a6d7f47e2ddc90dcad623e1c318b
5120350100064552,0a4e0d3.34f4a04b.bf6ba39c7c06ad62ff8e6de6356e6aadbf23669f
5120350100064552,0a4e0d3.34f4a04b.f149befb67c51a36f7492c3748449aebdacda3a6
